label,duration,total_packets,total_bytes,throughput_bps,pkt_mean,pkt_std,iat_mean,iat_std,qoe_metric
ChatGPT,46.9521210193634,5667,7362571,156810.18961770908,1299.2008117169578,1297.0278524194061,0.008286643314395235,0.07146921261510526,38.789
ChatGPT,8.400454998016357,31,9196,1094.7026086291157,296.64516129032256,511.7922681150951,0.28001516660054526,0.6422799231263948,2.75
ChatGPT,39.00029897689819,93,55136,1413.732751963255,592.8602150537635,1111.612222471641,0.4239162932271543,1.7900318694534256,33.645
ChatGPT,22.042977809906006,102,17411,789.8660584857814,170.69607843137254,308.25574400181335,0.2182473050485743,0.3930621009059987,14.626
ChatGPT,18.416254997253418,970,1094756,59445.09348742569,1128.6144329896906,1237.6718798881695,0.019005423113780617,0.11339029614824855,12.887
ChatGPT,20.090152978897095,501,356371,17738.59066052587,711.3193612774451,1072.9522304495842,0.04018030595779419,0.20471700652428534,17.373
ChatGPT,21.82163691520691,47,22742,1042.1766290205164,483.8723404255319,1337.9473420452732,0.4743834112001502,1.1775021204918095,15.971
ChatGPT,5.014358997344971,68,20389,4066.122910385091,299.8382352941176,582.2482442651304,0.07484117906485031,0.4016268964440067,2.765
ChatGPT,22.699743032455444,61,11383,501.4594210923406,186.60655737704917,271.6726742317193,0.3783290505409241,1.343641279669037,19.736
ChatGPT,21.676021814346313,78,38244,1764.3458900141973,490.3076923076923,940.5286744043086,0.2815067768096924,0.905341320107264,16.108
ChatGPT,22.268126964569092,50,19846,891.228976356074,396.92,747.8720436010427,0.4544515707054917,1.8379275031370452,14.297
ChatGPT,21.42984414100647,142,72182,3368.2932794587236,508.32394366197184,855.8779657425482,0.15198471021990403,0.7860538436992086,19.123
ChatGPT,19.31208109855652,68,26005,1346.5664247828652,382.4264705882353,1096.907354608139,0.28824001639636593,0.9031707429530068,15.159
ChatGPT,1.7022991180419922,64,35525,20868.83534361537,555.078125,931.593616214433,0.027020620921301464,0.03757114263710776,2.348
ChatGPT,18.612843990325928,50,10857,583.3068823680547,217.14,426.672193141292,0.3798539589862434,0.937938121509138,14.943
ChatGPT,23.87979006767273,61,21610,904.9493290669478,354.26229508196724,750.2793556597162,0.3979965011278788,1.560135908393557,19.818
ChatGPT,19.64073395729065,89,45928,2338.4054842284295,516.0449438202247,1219.4064490020107,0.22319015860557556,0.6771215096345228,18.405
ChatGPT,19.66691303253174,72,22688,1153.612667248336,315.1111111111111,617.2344583245575,0.27699877510608084,0.6738326150288265,15.795
ChatGPT,18.89638090133667,131,63239,3346.6196691413365,482.74045801526717,995.6741364889784,0.14535677616412823,0.6709155586900429,16.064
ChatGPT,36.35889506340027,105,36402,1001.1855403340659,346.6857142857143,688.2923287353408,0.3496047602250026,1.1222411614175785,32.951
